Date,Close
2017-05-29,1121.05
2017-05-30,1123.49
2017-05-31,1118.65
2017-06-01,1121.13
2017-06-02,1117.39
2017-06-05,1117.31
2017-06-06,1117.07
2017-06-07,1123.28
2017-06-08,1120.95
2017-06-09,1124.29
2017-06-12,1129.97
2017-06-13,1126.73
2017-06-14,1118.93
2017-06-15,1129.83
2017-06-16,1132.07
2017-06-19,1135.77
2017-06-20,1140.93
2017-06-21,1142.32
2017-06-22,1138.3
2017-06-23,1133.89
2017-06-26,1132.51
2017-06-27,1139.55
2017-06-28,1137.93
2017-06-29,1146.29
2017-06-30,1144.43
2017-07-03,1149.27
2017-07-04,1149.73
2017-07-05,1152.33
2017-07-06,1156.25
2017-07-07,1152.74
2017-07-10,1148.57
2017-07-11,1148.17
2017-07-12,1137.31
2017-07-13,1136.85
2017-07-14,1128.09
2017-07-17,1127.39
2017-07-18,1124.29
2017-07-19,1123.59
2017-07-20,1120.24
2017-07-21,1117.83
2017-07-24,1114.4
2017-07-25,1119.01
2017-07-26,1111.6
2017-07-27,1116.35
2017-07-28,1123.69
2017-07-31,1118.4
2017-08-01,1120.53
2017-08-02,1121.97
2017-08-03,1127.95
2017-08-04,1127.77
2017-08-07,1126.15
2017-08-08,1128.18
2017-08-09,1138.4
2017-08-10,1143.17
2017-08-11,1141.86
2017-08-14,1138.41
2017-08-15,1134.93
2017-08-16,1134.6
2017-08-17,1141.5
2017-08-18,1138.77
2017-08-21,1137.71
2017-08-22,1131.38
2017-08-23,1126.57
2017-08-24,1127.23
2017-08-25,1120.59
2017-08-28,1117.47
2017-08-29,1123.51
2017-08-30,1123.18
2017-08-31,1123.85
2017-09-01,1120.69
2017-09-04,1132.39
2017-09-05,1131.52
2017-09-06,1131.85
2017-09-07,1126.89
2017-09-08,1130.97
2017-09-11,1129.34
2017-09-12,1127.69
2017-09-13,1131.07
2017-09-14,1133.31
2017-09-15,1132.21
2017-09-18,1128.85
2017-09-19,1130.18
2017-09-20,1130.79
2017-09-21,1131.76
2017-09-22,1132.13
2017-09-25,1133.79
2017-09-26,1136.61
2017-09-27,1144.75
2017-09-28,1145.58
2017-09-29,1144.29
2017-10-02,1145.62
2017-10-03,1142.24
2017-10-04,1141.99
